,Median Age,Median Male Age,Median Female Age,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Household Income,Income Per Capita,Employment Labor Force,Employment Unemployed,Median Gross Rent,Median Home Value,zipcode,lat,lng,city,state,Google_URL,Count
0,43.3,42.3,44.3,20891,17585,2852,31,98,116,142,4308,1279,792,1870,511,129,39,5208,32448,19285,8176,437,565,66300,24701,37.305951,-81.204941,BLUEFIELD,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.305951,-81.204941&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",132
1,23.6,22.7,33.2,2007,1842,113,0,13,32,0,270,16,67,122,150,34,52,299,41339,18581,781,51,635,124500,24712,37.463059,-81.01501,ATHENS,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.463059,-81.01501&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",155
2,35.2,36,23.4,127,127,0,0,0,0,8,46,0,0,0,0,0,0,27,16694,13413,37,11,,82600,24714,37.484469,-81.190073,BEESON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.484469,-81.190073&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",170
3,52.4,60,47.8,366,359,6,0,1,0,2,110,25,8,37,7,4,0,98,27500,18980,103,2,570,63800,24715,37.340392,-81.324618,BRAMWELL,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.340392,-81.324618&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",131
4,54.3,55.2,52,460,364,96,0,0,0,0,196,10,27,0,17,0,0,97,,24869,148,10,,,24716,37.480042,-81.371826,BUD,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.480042,-81.371826&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",140
5,29.9,29.5,76,216,216,0,0,0,0,0,99,0,0,0,0,0,0,110,,9508,27,14,,,24719,37.487167,-81.326725,COVEL,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.487167,-81.326725&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",141
6,39.3,36.5,57.8,53,53,0,0,0,0,0,7,3,0,5,0,0,0,15,,17383,17,2,580,53300,24724,37.330881,-81.299757,FREEMAN,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.330881,-81.299757&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",129
7,60.6,60.4,61,255,255,0,0,0,0,14,136,19,0,0,19,0,0,0,52978,16818,19,0,,132400,24726,37.514751,-81.352074,HERNDON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.514751,-81.352074&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",133
8,49.2,49.1,50.1,163,163,0,0,0,0,0,42,28,0,0,0,0,0,110,,13676,28,0,,,24729,37.449867,-81.26001,HIAWATHA,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.449867,-81.26001&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",157
9,48.4,41.1,48.9,302,302,0,0,0,0,0,79,0,0,27,21,0,0,60,44417,17207,199,0,,,24731,37.397966,-81.151064,KEGLEY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.397966,-81.151064&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",168
